EMPRESA;REGIAO;DATACENTER;ZONA;SERVIDOR;CPU;RAM_TOTAL;RAM_USADA;RAM_PERCENT;DISCO_TOTAL;DISCO_USADO;DISCO_PERCENT;LATENCIA;PACOTES_ENVIADOS;PACOTES_RECEBIDOS;QTD_PR;PROCESSO1_CPU;PORCENTAGEM_PROCESSO1_CPU;PROCESSO2_CPU;PORCENTAGEM_PROCESSO2_CPU;PROCESSO3_CPU;PORCENTAGEM_PROCESSO3_CPU;PROCESSO1_RAM;PORCENTAGEM_PROCESSO1_RAM;PROCESSO2_RAM;PORCENTAGEM_PROCESSO2_RAM;PROCESSO3_RAM;PORCENTAGEM_PROCESSO3_RAM;DATA_HORA
GOGE;A1;DATA_CENTER_01;A1;AB043;24.4;7993270272;6173634560;77.2;250375106560;44136280064;18.6;8.849;34168;59133;285;systemd;0.0;kthreadd;0.0;pool_workqueue_release;0.0;code;582582272;code;564195328;chrome;472297472;2026-04-09 12:43:49.464435
GOGE;A1;DATA_CENTER_01;A1;AB043;1.7;7993270272;6214922240;77.8;250375106560;44136280064;18.6;4.953;34414;59434;282;code;7.7;python;2.9;plasmashell;2.3;code;582582272;code;564269056;chrome;472276992;2026-04-09 12:43:57.101308
GOGE;A1;DATA_CENTER_01;A1;AB043;1.8;7993270272;6169235456;77.2;250375106560;44136300544;18.6;5.711;34624;59723;283;code;16.7;code;10.2;plasmashell;7.9;code;582582272;code;564342784;chrome;472522752;2026-04-09 12:44:04.486785
GOGE;A1;DATA_CENTER_01;A1;AB043;2.5;7993270272;6189105152;77.4;250375106560;44136300544;18.6;6.055;34864;60052;283;code;10.1;code;3.9;plasmashell;2.6;code;582582272;code;564412416;chrome;472727552;2026-04-09 12:44:11.875691
GOGE;A1;DATA_CENTER_01;A1;AB043;10.8;7993270272;6185037824;77.4;250375106560;44136304640;18.6;5.335;35067;60323;283;code;18.6;code;8.9;code;6.6;code;582582272;code;564486144;chrome;472227840;2026-04-09 12:44:19.408210
GOGE;A1;DATA_CENTER_01;A1;AB043;5.1;7993270272;6218448896;77.8;250375106560;44136308736;18.6;7.196;35294;60641;282;code;36.1;code;10.3;kwin_x11;9.2;code;582582272;code;564690944;chrome;472948736;2026-04-09 12:44:26.933770
GOGE;A1;DATA_CENTER_01;A1;AB043;14.8;7993270272;6167375872;77.2;250375106560;44136304640;18.6;8.277;35508;60931;281;code;52.8;code;17.1;kwin_x11;11.8;code;582582272;code;564760576;chrome;471515136;2026-04-09 12:44:34.461402
GOGE;A1;DATA_CENTER_01;A1;AB043;2.4;7993270272;6205968384;77.6;250375106560;44136304640;18.6;11.379;35725;61225;281;code;23.1;code;7.9;Xorg;6.8;code;582582272;code;564826112;chrome;471396352;2026-04-09 12:44:42.042711
GOGE;A1;DATA_CENTER_01;A1;AB043;2.2;7993270272;6201593856;77.6;250375106560;44136304640;18.6;30.267;35945;61510;280;code;11.9;kwin_x11;5.5;code;5.2;code;582582272;code;564916224;chrome;471560192;2026-04-09 12:44:51.792652
GOGE;A1;DATA_CENTER_01;A1;AB043;7.1;7993270272;6364979200;79.6;250375106560;44137058304;18.6;25.501;37069;63046;282;chrome;63.2;chrome;14.7;chrome;8.9;chrome;674226176;code;582582272;code;564989952;2026-04-09 12:45:01.958179
GOGE;A1;DATA_CENTER_01;A1;AB043;19.8;7993270272;6392074240;80.0;250375106560;44140924928;18.6;7.006;37796;63998;282;chrome;66.7;chrome;11.9;chrome;10.1;chrome;765661184;code;576077824;code;565030912;2026-04-09 12:45:11.116690
GOGE;A1;DATA_CENTER_01;A1;AB043;6.6;7993270272;6392991744;80.0;250375106560;44140957696;18.6;31.965;38229;64534;283;chrome;15.4;kwin_x11;5.0;Xorg;4.1;chrome;730091520;code;565022720;code;563781632;2026-04-09 12:45:18.912348
GOGE;A1;DATA_CENTER_01;A1;AB043;8.9;7993270272;6249238528;78.2;250375106560;44141088768;18.6;13.381;38883;65359;285;chrome;17.0;chrome;15.7;kwin_x11;12.8;code;565030912;chrome;477413376;chrome;462565376;2026-04-09 12:45:28.402580
GOGE;A1;DATA_CENTER_01;A1;AB043;3.4;7993270272;6306377728;78.9;250375106560;44141621248;18.6;55.475;39192;65807;285;code;25.8;chrome;10.1;kwin_x11;9.8;code;565039104;chrome;476946432;chrome;462594048;2026-04-09 12:45:41.003407
GOGE;A1;DATA_CENTER_01;A1;AB043;1.2;7993270272;6210584576;77.7;250375106560;44141424640;18.6;6.682;39412;66120;281;code;8.2;kwin_x11;4.7;plasmashell;3.7;code;565039104;chrome;476180480;chrome;462729216;2026-04-09 12:45:52.202034
GOGE;A1;DATA_CENTER_01;A1;AB043;37.5;7993270272;6381543424;79.8;250375106560;44142694400;18.6;14.557;40203;67178;286;code;20.9;chrome;19.8;kwin_x11;11.7;code;566308864;chrome;480874496;chrome;467017728;2026-04-09 12:46:00.304530
GOGE;A1;DATA_CENTER_01;A1;AB043;18.1;7993270272;6411567104;80.2;250375106560;44142682112;18.6;11.542;40813;68104;286;chrome;68.0;code;33.5;chrome;14.2;code;566652928;chrome;480329728;chrome;466989056;2026-04-09 12:46:08.363416
GOGE;A1;DATA_CENTER_01;A1;AB043;20.5;7993270272;6389809152;79.9;250375106560;44184866816;18.6;8.961;41201;68833;286;code;23.4;chrome;12.4;code;8.2;code;576331776;chrome;481939456;chrome;467079168;2026-04-09 12:46:16.077793
GOGE;A1;DATA_CENTER_01;A1;AB043;37.1;7993270272;6441795584;80.6;250375106560;44187164672;18.6;5.165;42147;70461;286;chrome;92.8;chrome;20.2;code;18.6;chrome;600059904;code;576339968;chrome;482701312;2026-04-09 12:46:23.820503
GOGE;A1;DATA_CENTER_01;A1;AB043;14.7;7993270272;6414376960;80.2;250375106560;44187303936;18.6;6.905;42501;70950;285;code;22.6;chrome;19.2;code;9.4;chrome;630878208;code;576430080;chrome;483594240;2026-04-09 12:46:30.996010
GOGE;A1;DATA_CENTER_01;A1;AB043;28.5;7993270272;6408871936;80.2;250375106560;44187332608;18.6;16.948;42870;71507;285;code;41.0;chrome;31.2;code;17.4;chrome;629424128;code;576856064;chrome;483061760;2026-04-09 12:46:38.437965
GOGE;A1;DATA_CENTER_01;A1;AB043;11.7;7993270272;6240759808;78.1;250375106560;44187377664;18.6;10.576;43113;71810;284;code;21.5;chrome;17.7;kwin_x11;7.3;code;576917504;chrome;484552704;chrome;482328576;2026-04-09 12:46:46.442167
GOGE;A1;DATA_CENTER_01;A1;AB043;18.6;7993270272;6246174720;78.1;250375106560;44202229760;18.6;4.637;43445;72296;285;chrome;43.8;chrome;15.8;kwin_x11;11.4;code;576921600;chrome;524247040;chrome;481579008;2026-04-09 12:46:54.165875
GOGE;A1;DATA_CENTER_01;A1;AB043;5.7;7993270272;6176313344;77.3;250375106560;44202377216;18.6;7.13;43703;72617;284;chrome;25.7;code;14.9;chrome;6.0;code;576925696;chrome;542793728;chrome;480813056;2026-04-09 12:47:01.482774
GOGE;A1;DATA_CENTER_01;A1;AB043;11.6;7993270272;6074941440;76.0;250375106560;44202459136;18.6;6.199;44015;73061;284;chrome;22.2;chrome;6.6;kwin_x11;6.0;code;576925696;chrome;480448512;chrome;466767872;2026-04-09 12:47:09.270283
GOGE;A1;DATA_CENTER_01;A1;AB043;1.8;7993270272;6081290240;76.1;250375106560;44202475520;18.6;7.606;44286;73408;284;kwin_x11;2.6;code;2.5;python;2.5;code;576925696;chrome;480788480;chrome;467836928;2026-04-09 12:47:16.636435
GOGE;A1;DATA_CENTER_01;A1;AB043;1.8;7993270272;6049394688;75.7;250375106560;44202455040;18.6;7.71;44507;73679;285;plasmashell;8.7;kwin_x11;7.1;Xorg;4.4;code;576925696;chrome;479850496;chrome;467128320;2026-04-09 12:47:24.039845
GOGE;A1;DATA_CENTER_01;A1;AB043;4.2;7993270272;6035492864;75.5;250375106560;44203929600;18.6;8.498;44738;73962;285;kwin_x11;3.2;plasmashell;2.5;Xorg;2.4;code;576966656;chrome;479854592;chrome;466784256;2026-04-09 12:47:31.833506
GOGE;A1;DATA_CENTER_01;A1;AB043;1.0;7993270272;6008123392;75.2;250375106560;44203929600;18.6;8.655;44958;74264;284;kwin_x11;3.3;plasmashell;2.8;Xorg;2.4;code;576966656;chrome;479723520;chrome;465772544;2026-04-09 12:47:39.402327
GOGE;A1;DATA_CENTER_01;A1;AB043;1.2;7993270272;6008324096;75.2;250375106560;44203950080;18.6;6.928;45211;74609;285;kwin_x11;2.9;plasmashell;2.4;code;2.3;code;576966656;chrome;480776192;chrome;465858560;2026-04-09 12:47:46.960793
GOGE;A1;DATA_CENTER_01;A1;AB043;1.0;7993270272;6020698112;75.3;250375106560;44156768256;18.6;12.582;45433;74909;285;plasmashell;8.4;kwin_x11;5.9;Xorg;3.6;code;576966656;chrome;479797248;chrome;462307328;2026-04-09 12:47:54.454108
GOGE;A1;DATA_CENTER_01;A1;AB043;0.8;7993270272;6017884160;75.3;250375106560;44156194816;18.6;11.554;45659;75208;285;kwin_x11;3.1;Xorg;2.5;plasmashell;2.5;code;576888832;chrome;479744000;chrome;459927552;2026-04-09 12:48:02.451924
GOGE;A1;DATA_CENTER_01;A1;AB043;6.9;7993270272;5960151040;74.6;250375106560;44156194816;18.6;9.571;45893;75671;284;code;6.7;kwin_x11;4.9;plasmashell;4.7;code;576892928;chrome;479989760;chrome;459370496;2026-04-09 12:48:10.255119
GOGE;A1;DATA_CENTER_01;A1;AB043;16.2;7993270272;6008414208;75.2;250375106560;44156190720;18.6;6.787;46119;76178;283;code;33.4;kwin_x11;9.8;code;9.2;code;576880640;chrome;479428608;chrome;459300864;2026-04-09 12:48:18.145570
GOGE;A1;DATA_CENTER_01;A1;AB043;4.0;7993270272;6026153984;75.4;250375106560;44156194816;18.6;10.646;46331;76628;283;code;8.5;kwin_x11;6.9;plasmashell;5.1;code;576864256;chrome;479195136;chrome;459304960;2026-04-09 12:48:26.127242
GOGE;A1;DATA_CENTER_01;A1;AB043;16.3;7993270272;6096449536;76.3;250375106560;44156207104;18.6;5.836;46583;77016;283;code;14.7;code;7.7;code;7.0;code;576864256;chrome;488902656;chrome;463917056;2026-04-09 12:48:33.785858
GOGE;A1;DATA_CENTER_01;A1;AB043;12.7;7993270272;6176481280;77.3;250375106560;44156219392;18.6;8.244;46868;77452;284;chrome;28.6;code;25.0;kwin_x11;11.6;code;576868352;chrome;521203712;chrome;486346752;2026-04-09 12:48:41.279274
GOGE;A1;DATA_CENTER_01;A1;AB043;5.6;7993270272;6206447616;77.6;250375106560;44156215296;18.6;8.013;47089;77790;285;code;15.6;kwin_x11;13.6;Xorg;13.0;code;576868352;chrome;520204288;chrome;485822464;2026-04-09 12:48:49.127391
GOGE;A1;DATA_CENTER_01;A1;AB043;8.1;7993270272;6103318528;76.4;250375106560;44156252160;18.6;9.456;47375;78177;286;chrome;14.2;kactivitymanagerd;13.8;Xorg;10.6;code;576876544;chrome;530939904;chrome;486342656;2026-04-09 12:48:56.896464
GOGE;A1;DATA_CENTER_01;A1;AB043;2.7;7993270272;6120792064;76.6;250375106560;44156321792;18.6;15.145;47719;78705;287;chrome;24.3;chrome;7.7;kwin_x11;5.9;code;576880640;chrome;486559744;chrome;474558464;2026-04-09 12:49:04.667446
GOGE;A1;DATA_CENTER_01;A1;AB043;19.6;7993270272;6147129344;76.9;250375106560;44156321792;18.6;16.225;47965;79079;287;code;8.9;kwin_x11;7.6;code;7.5;code;576917504;chrome;486780928;chrome;479453184;2026-04-09 12:49:13.125831
GOGE;A1;DATA_CENTER_01;A1;AB043;5.1;7993270272;6163107840;77.1;250375106560;44156362752;18.6;20.414;48253;79505;287;chrome;29.8;kwin_x11;8.8;plasmashell;8.2;code;577024000;chrome;492449792;chrome;487116800;2026-04-09 12:49:21.066995
GOGE;A1;DATA_CENTER_01;A1;AB043;1.2;7993270272;6110883840;76.5;250375106560;44156358656;18.6;23.19;48508;79921;287;kwin_x11;3.6;chrome;3.6;Xorg;2.9;code;576966656;chrome;491786240;chrome;486092800;2026-04-09 12:49:29.746755
GOGE;A1;DATA_CENTER_01;A1;AB043;1.2;7993270272;6037057536;75.5;250375106560;44156358656;18.6;5.638;48731;80233;284;chrome;8.8;kwin_x11;3.2;code;2.8;code;576966656;chrome;490692608;chrome;485789696;2026-04-09 12:49:39.626990
GOGE;A1;DATA_CENTER_01;A1;AB043;5.2;7993270272;6089011200;76.2;250375106560;44156358656;18.6;11.673;48965;80535;284;code;16.2;plasmashell;9.7;kwin_x11;8.3;code;576966656;chrome;492716032;chrome;485367808;2026-04-09 12:49:47.194317
GOGE;A1;DATA_CENTER_01;A1;AB043;15.7;7993270272;6218747904;77.8;250375106560;44156370944;18.6;15.6;49226;80871;283;code;59.5;code;9.5;kwin_x11;7.2;code;576966656;chrome;491347968;chrome;485244928;2026-04-09 12:49:55.436852
GOGE;A1;DATA_CENTER_01;A1;AB043;30.1;7993270272;5452615680;68.2;250375106560;44156387328;18.6;9.997;49471;81185;273;code;44.3;code;20.0;code;10.7;code;577507328;chrome;488538112;chrome;480903168;2026-04-09 12:50:03.888950
GOGE;A1;DATA_CENTER_01;A1;AB043;15.1;7993270272;5447012352;68.1;250375106560;44156387328;18.6;10.054;49702;81495;273;code;23.8;code;10.2;code;7.9;code;577163264;chrome;488505344;chrome;480911360;2026-04-09 12:50:11.635204
