EMPRESA;REGIAO;DATACENTER;ZONA;SERVIDOR;CPU_PER;QTD_NUCLEOS;RAM_TOTAL;RAM_TOTAL;RAM_USADO;RAM_PER;DISCO_TOTAL;DISCO_TOTAL;DISCO_USADO;DISCO_USADO;DISCO_PER;LATENCIA;PACOTES_ENV;PACOTES_RCB;PACOTES_PER;QTR_PR;USO_USER;USO_SISTEM;PROCESSO01_CPU_N;PROCESSO1_CPU_P;PROCESSO2_CPU_N;PROCESSO2_CPU_P;PROCESSO3_CPU_N;PROCESSO3_CPU_P;PROCESSO01_RAM_N;PROCESSO1_RAM_T;PROCESSO1_RAM_P;PROCESSO2_RAM_N;PROCESSO2_RAM_T;PROCESSO2_RAM_P;PROCESSO3_RAM_N;PROCESSO3_RAM_T;PROCESSO3_RAM_P;BOOTTIME;BOOTTIME;DATE;UPTIME;HORA_TRATAMENTO
STEAM;A1;DATA_CENTER_01;A1;AB043;0.8;4;25647747072;23.88632583618164;13.103618621826172;54.9;837765033984;780.2294883728027;301221855232;280.5347137451172;36.0;22.95;396330;497796;0;274;0.6;1.4;System Idle Process;0.0;System Idle Process;0.0;System;0.0;idea64.exe;1.4669456481933594;6.141361623608575;idea64.exe;1.4669456481933594;6.141361623608575;MemCompression;1.3421707153320312;5.618991905816623;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:42:33;13 days 23:46:26.018152952;2026-04-14 22:43:21.712900
STEAM;A1;DATA_CENTER_01;A1;AB043;0.8;4;25647747072;23.88632583618164;13.103618621826172;54.9;837765033984;780.2294883728027;301221855232;280.5347137451172;36.0;22.95;396330;497796;0;274;0.6;1.4;System Idle Process;0.0;System Idle Process;0.0;System;0.0;idea64.exe;1.4669456481933594;6.141361623608575;idea64.exe;1.4669456481933594;6.141361623608575;MemCompression;1.3421707153320312;5.618991905816623;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:42:33;13 days 23:46:26.018152952;2026-04-14 22:45:26.057702
STEAM;A1;DATA_CENTER_01;A1;AB043;14.6;4;25647747072;23.88632583618164;13.153675079345703;55.1;837765033984;780.2294883728027;301221953536;280.53480529785156;36.0;20.19;396606;498064;0;274;1.4;1.8;System Idle Process;752.1;System Idle Process;752.1;System Idle Process;752.1;idea64.exe;1.467010498046875;6.141633117240373;idea64.exe;1.467010498046875;6.141633117240373;MemCompression;1.3410911560058594;5.614472335357878;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:43:15;13 days 23:47:08.018152952;2026-04-14 22:45:26.057702
STEAM;A1;DATA_CENTER_01;A1;AB043;8.7;4;25647747072;23.88632583618164;13.055683135986328;54.7;837765033984;780.2294883728027;301224792064;280.53744888305664;36.0;21.61;396848;498298;0;275;0.0;0.4;System Idle Process;767.1;System Idle Process;767.1;System Idle Process;767.1;idea64.exe;1.467010498046875;6.141633117240373;idea64.exe;1.467010498046875;6.141633117240373;MemCompression;1.3407516479492188;5.61305098634435;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:43:55;13 days 23:47:48.018152952;2026-04-14 22:45:26.057702
STEAM;A1;DATA_CENTER_01;A1;AB043;0.0;4;25647747072;23.88632583618164;13.000396728515625;54.4;837765033984;780.2294883728027;301225140224;280.5377731323242;36.0;21.29;397047;498481;0;274;0.0;0.8;System Idle Process;794.4;System Idle Process;794.4;System Idle Process;794.4;idea64.exe;1.467041015625;6.141760878949454;idea64.exe;1.467041015625;6.141760878949454;MemCompression;1.3407669067382812;5.61311486719889;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:44:36;13 days 23:48:29.018152952;2026-04-14 22:45:26.057702
STEAM;A1;DATA_CENTER_01;A1;AB043;8.7;4;25647747072;23.88632583618164;13.055683135986328;54.7;837765033984;780.2294883728027;301224792064;280.53744888305664;36.0;21.61;396848;498298;0;275;0.0;0.4;System Idle Process;767.1;System Idle Process;767.1;System Idle Process;767.1;idea64.exe;1.467010498046875;6.141633117240373;idea64.exe;1.467010498046875;6.141633117240373;MemCompression;1.3407516479492188;5.61305098634435;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:43:55;13 days 23:47:48.018152952;2026-04-14 22:48:33.826480
STEAM;A1;DATA_CENTER_01;A1;AB043;0.0;4;25647747072;23.88632583618164;13.000396728515625;54.4;837765033984;780.2294883728027;301225140224;280.5377731323242;36.0;21.29;397047;498481;0;274;0.0;0.8;System Idle Process;794.4;System Idle Process;794.4;System Idle Process;794.4;idea64.exe;1.467041015625;6.141760878949454;idea64.exe;1.467041015625;6.141760878949454;MemCompression;1.3407669067382812;5.61311486719889;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:44:36;13 days 23:48:29.018152952;2026-04-14 22:48:33.826480
STEAM;A1;DATA_CENTER_01;A1;AB043;5.3;4;25647747072;23.88632583618164;12.968921661376953;54.3;837765033984;780.2294883728027;301225472000;280.53808212280273;36.0;20.7;397311;498751;0;273;0.2;1.4;System Idle Process;772.3;System Idle Process;772.3;System Idle Process;772.3;idea64.exe;1.4673843383789062;6.143198198176616;idea64.exe;1.4673843383789062;6.143198198176616;MemCompression;1.338104248046875;5.601967658081559;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:45:16;13 days 23:49:09.018152952;2026-04-14 22:48:33.826480
STEAM;A1;DATA_CENTER_01;A1;AB043;3.7;4;25647747072;23.88632583618164;12.921871185302734;54.1;837765033984;780.2294883728027;301226430464;280.5389747619629;36.0;20.68;397860;499338;0;272;5.4;1.2;System Idle Process;760.8;System Idle Process;760.8;System Idle Process;760.8;idea64.exe;2.278034210205078;9.536980387140337;idea64.exe;2.278034210205078;9.536980387140337;MemCompression;1.0913047790527344;4.568742746528595;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:45:55;13 days 23:49:48.018152952;2026-04-14 22:48:33.826480
STEAM;A1;DATA_CENTER_01;A1;AB043;5.2;4;25647747072;23.88632583618164;13.34377670288086;55.9;837765033984;780.2294883728027;301226557440;280.5390930175781;36.0;25.2;398390;499719;0;272;0.8;1.8;System Idle Process;765.9;System Idle Process;765.9;System Idle Process;765.9;idea64.exe;2.278087615966797;9.537203970131229;idea64.exe;2.278087615966797;9.537203970131229;MemCompression;1.0912017822265625;4.568311550760446;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:46:36;13 days 23:50:29.018152952;2026-04-14 22:48:33.826480
STEAM;A1;DATA_CENTER_01;A1;AB043;2.1;4;25647747072;23.88632583618164;13.320858001708984;55.8;837765033984;780.2294883728027;301226557440;280.5390930175781;36.0;19.79;398703;500015;0;272;1.4;3.9;System Idle Process;766.3;System Idle Process;766.3;System Idle Process;766.3;idea64.exe;2.2764015197753906;9.530145135704494;idea64.exe;2.2764015197753906;9.530145135704494;MemCompression;0.9925117492675781;4.155146153805614;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:47:16;13 days 23:51:09.018152952;2026-04-14 22:48:33.826480
STEAM;A1;DATA_CENTER_01;A1;AB043;8.2;4;25647747072;23.88632583618164;13.062511444091797;54.7;837765033984;780.2294883728027;301228699648;280.54108810424805;36.0;20.65;399073;500388;0;262;1.4;7.4;System Idle Process;748.5;System Idle Process;748.5;System Idle Process;748.5;idea64.exe;2.2764244079589844;9.530240956986306;idea64.exe;2.2764244079589844;9.530240956986306;MemCompression;0.9920196533203125;4.153085996246681;1774997766.981847;2026-03-31 22:56:06.981847048;2026-04-14 22:47:56;13 days 23:51:49.018152952;2026-04-14 22:48:33.826480
